Receiving time        Device NO        AccelerationX        AccelerationY        AccelerationZ        Angular VelocityX        Angular VelocityY        Angular VelocityZ        AngleX        AngleY        AngleZ        Magnetic FieldX        Magnetic FieldY        Magnetic FieldZ        Temperature        Electric Quantity        Signal        Versions
 2022-05-07 13:13:07.953        WT5300004315        -0.897        -0.393        -0.134        0.915        0.305        -0.061        -106.935        64.698        -170.018        200        353        -461        36.97        3.90        -73        13006
 2022-05-07 13:13:07.979        WT5300004430        -0.821        0.128        -0.069        -1.464        2.685        0.732        89.225        78.101        136.175        342        36        94        36.41        4.01        -66        13006
 2022-05-07 13:13:08.017        WT5300004357        -0.903        -0.764        0.012        1.464        -3.784        -8.850        -92.285        51.564        147.403        558        -105        -700        38.79        3.98        -75        13006
 2022-05-07 13:13:08.021        WT5300004344        1.012        0.612        -0.007        -2.014        7.080        -6.591        96.416        -59.106        -80.491        -585        197        -94        36.40        3.94        -78        13006
 2022-05-07 13:13:08.030        WT5300004408        -0.900        -0.053        0.123        -1.831        0.976        -0.488        -19.286        82.353        -94.086        414        83        -291        34.85        3.99        -66        13006
 2022-05-07 13:13:08.053        WT5300004315        -0.887        -0.400        -0.135        -0.122        0.183        -0.549        -107.001        64.599        -170.227        201        352        -461        36.94        3.90        -73        13006
 2022-05-07 13:13:08.045        WT5300004331        -0.881        0.413        -0.128        1.831        -3.417        -0.061        112.379        64.198        43.258        416        -8        -286        39.52        3.95        -81        13006
 2022-05-07 13:13:08.078        WT5300004430        -0.812        0.120        -0.081        1.159        -2.746        0.427        89.708        78.255        136.224        342        35        93        36.40        4.01        -66        13006
 2022-05-07 13:13:08.091        WT5300004344        0.995        0.607        -0.024        -0.854        6.652        -5.310        94.844        -58.601        -78.980        -585        193        -97        36.34        3.94        -78        13006
 2022-05-07 13:13:08.098        WT5300004357        -0.897        -0.745        0.000        0.732        -3.906        -7.568        -91.571        50.690        148.161        556        -100        -703        38.78        3.98        -75        13006
 2022-05-07 13:13:08.131        WT5300004408        -0.891        -0.042        0.131        -1.403        0.854        -0.366        -20.039        82.348        -94.740        414        84        -292        34.87        3.99        -66        13006
 2022-05-07 13:13:08.150        WT5300004331        -0.883        0.421        -0.136        -1.464        -0.915        2.258        111.785        64.154        42.819        418        -7        -286        39.52        3.95        -80        13006
 2022-05-07 13:13:08.155        WT5300004315        -0.887        -0.400        -0.139        -2.746        -1.037        -0.183        -107.050        64.561        -170.238        201        352        -461        36.94        3.90        -73        13006
 2022-05-07 13:13:08.192        WT5300004344        1.009        0.593        -0.033        1.953        3.601        -5.310        93.933        -58.073        -77.953        -587        188        -101        36.38        3.94        -78        13006
 2022-05-07 13:13:08.180        WT5300004430        -0.833        0.124        -0.076        -2.502        0.671        2.197        91.010        78.255        136.983        343        35        91        36.41        4.01        -66        13006
 2022-05-07 13:13:08.204        WT5300004357        -0.915        -0.729        0.000        -2.746        -3.356        -5.065        -91.362        50.031        148.716        553        -93        -704        38.79        3.98        -75        13006
